application,locales
changesets,index
confirmations,create
confirmations,new
confirmations,show
notes,create
notes,destroy
notes,index
notes,show
projects,create
projects,destroy
projects,edit
projects,index
projects,new
projects,show
projects,update
registrations,cancel
registrations,create
registrations,destroy
registrations,edit
registrations,new
registrations,update
static,testcard
stories,accept
stories,backlog
stories,create
stories,deliver
stories,destroy
stories,done
stories,finish
stories,import
stories,import_upload
stories,index
stories,in_progress
stories,reject
stories,show
stories,start
stories,update
story,new
users,create
users,destroy
users,index
